ACCESSION,NAME,TAXONOMY,ORIGIN,REPOSITORY,IMAGE,AVAILABILITY,RECEIVED,SOURCE TYPE,SOURCE DATE,COLLECTION SITE,COORDINATES,ELEVATION,HABITAT,IMPROVEMENT STATUS,NARRATIVE,NA,Var.18,Genus,Rank,Infraspecific,Species,Taxon
PI 557291,SCS 45-6 Lane,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1988,COLLECTED,,"Lane County, Sec. 2, T17S, R8W Along Lake Creek, near Bureau of Land Management Park Suislaw, SW","44.00000000, -122.83333000",0,Gravelly loam,BREEDING,,1452263,PI 557291,Corylus,,,Corylus californica,Corylus californica  
PI 557293,C. californica SCS 13-3,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Marion County,"44.83333000, -122.66667000",,Marion County,BREEDING,,1452265,PI 557293,Corylus,,,Corylus californica,Corylus californica  
PI 557295,SCS 25-5,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Hood River,"45.66667000, -121.50000000",,Hood River,BREEDING,Replaced 1/93,1452267,PI 557295,Corylus,,,Corylus californica,Corylus californica  
PI 557297,SCS 20-6,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Benton County,"44.50000000, -123.50000000",,Benton County,BREEDING,,1452269,PI 557297,Corylus,,,Corylus californica,Corylus californica  
PI 557298,SCS 41-2,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Tillamook County,"45.50000000, -123.75000000",,Tillamook County,BREEDING,,1452270,PI 557298,Corylus,,,Corylus californica,Corylus californica  
PI 557299,SCS 53-4,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Multnomah County,"45.58333000, -122.33333000",,Multnomah County,BREEDING,Replaced 1/93,1452271,PI 557299,Corylus,,,Corylus californica,Corylus californica  
PI 557300,SCS 13-5,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1990,COLLECTED,,Marion County,"44.83333000, -122.66667000",,Marion County,BREEDING,,1452272,PI 557300,Corylus,,,Corylus californica,Corylus californica  
PI 557331,'Morrisoka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1981,DEVELOPED,,,,,,CULTIVAR,"This hybrid cultivar is named for Dr. R.T. Morris, an early active member of the Northern Nut Growers Association and author of a book on nut culture. Morrisoka has many outstanding features that include: 1. very strong-growing tree, 2. large dark-green leaves, 3. has the largest nut to date of the Trazelnuts (Tree-Hazelnuts), growing in clusters from four to six nuts that are free-falling when mature, and 4. kernels free from loose bran so common to Barcelona cultivars. Its weak point may be just that it is a shy producer of catkins. But, this can be solved by cross-pollinating it with some of the other heavy producers of catkins, such as Eastoka, Chinoka, Indoka, or Churoka trazelnuts.",1452303,PI 557331,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557333,'Laroka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1981,DEVELOPED,,,,,,CULTIVAR,"Laroka is named for Dr. Larry Moore. It is a cross of Corylus colurna and large-fruited Corylus avellana cultivar. This cultivar is considered a strong grower with very large dark green leaves. It is a most attractive tree, with improved nut size fora tree hazel. To date, it is a shy producer of catkins, it sets a fair crop in clusters up to five or six nuts, which fall free of the husk when mature, and which growers consider a great help at harvest. The kernels are clean and free on loose bran.",1452305,PI 557333,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557334,'Buchanan',Corylus  hybr.,"Pennsylvania, United States",COR,,Add to cart,1983,DEVELOPED,1930,,,,,CULTIVAR,"From Brooks and Olmo: Orig. in Lancaster, Pa., by J.F. Jones. Introd. in 1930. Cross of the Rush hazel by one of the European filberts; cross made in 1920. Nut: kernel 18 x 22 mm, ovoid pointed, medium brown; flavor good; nut in husk pale, brownish-gray; buds 1/8 inch long, rounded, blunt; catkins greenish, single or in clusters of one to four, about I inch long in early October, resembles Bixby, except longer and more slender, and shell thicker. Tree: hardy, productive, reaching height of 10 ft; broad, rounded top, outline oval; younger wood greenish-brown; lenticels whitish, somewhat broader than long; leaf 8.4 x 9.4 cm, apex missing or blunt, glabrous, shiny, medium dark green on top, lighter green and dull on under surface; named in honor of President Buchanan, who spent his last years in Lancaster and is buried there.",1452306,PI 557334,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557335,OSU Cross No. 22,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1983,DEVELOPED,1981,,,,,BREEDING,,1452307,PI 557335,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557337,NY 104,Corylus  hybr.,"New York, United States",COR,,Add to cart,1982,DEVELOPED,,,,,,BREEDING,,1452309,PI 557337,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557338,NY 110,Corylus  hybr.,"New York, United States",COR,,Add to cart,1982,DEVELOPED,,,,,,BREEDING,,1452310,PI 557338,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557339,NY F-45,Corylus  hybr.,"New York, United States",COR,,Add to cart,1982,DEVELOPED,,,,,,BREEDING,,1452311,PI 557339,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557340,NY 200,Corylus  hybr.,"New York, United States",COR,,Add to cart,1982,DEVELOPED,,,,,,BREEDING,,1452312,PI 557340,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557341,NY 616,Corylus  hybr.,"New York, United States",COR,,Add to cart,1982,DEVELOPED,,,,,,BREEDING,"One of the best of the New York selections, according to Ernie Grimo, Grimo Nut Nursery, Ontario, Canada, from nursery website, 12/2003.",1452313,PI 557341,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557343,BR-3-1,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452315,PI 557343,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557344,BR-3-3,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452316,PI 557344,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557345,BR-3-4,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452317,PI 557345,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557346,BR-3-5,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452318,PI 557346,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557347,BR-3-6,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452319,PI 557347,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557348,BR-4-1,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1984,COLLECTED,,,,,,BREEDING,,1452320,PI 557348,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557349,'Moturk-D',Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1984,DEVELOPED,,,,,,BREEDING,,1452321,PI 557349,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557350,'Estrella No.1',Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1984,DEVELOPED,,,,,,BREEDING,,1452322,PI 557350,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557351,'Estrella No.2',Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1984,DEVELOPED,,,,,,BREEDING,,1452323,PI 557351,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557355,USOR 6-73,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1973,,,,,BREEDING,,1452327,PI 557355,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557357,'Eastoka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1984,DEVELOPED,1966,,,,,CULTIVAR,"Description:Eastoka is a result of a cross of Corylus colurna and a large-fruited Corylus avellana cultivar.  This cultivar has many strong points.  It is a very attractive tree.  The tree is an annual heavy cropper of fair-sized nuts.  It is also a heavy producer of catkins annually, making it a good pollinator.  The kernel is free from bran.   Furthermore, the tree is hardy and vigorous and can be easily grafted onto the Turkish tree hazel using scions fresh-cut in May or earlier or fall-cut scions from storage.Although it has many desirable traits, Eastoka is not a 'perfect' cultivar.  It does possess a few weak points:  The nuts do not fall from the husk.  The bunches of five to six nuts fall as a cluster and mostly remain in the husk.  The nuts would remain there until well dried or scrubbed out.",1452329,PI 557357,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557359,'Moturk-B',Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1984,DEVELOPED,,,,,,BREEDING,,1452331,PI 557359,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557361,USOR 2-73,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1973,,,,,BREEDING,,1452333,PI 557361,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557362,'Freeoka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1984,DEVELOPED,1966,,,,,CULTIVAR,,1452334,PI 557362,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557364,USOR 1-70,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1970,,,,,BREEDING,,1452336,PI 557364,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557366,USOR 2-67,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1967,,,,,BREEDING,,1452338,PI 557366,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557368,USOR 20-71,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1971,,,,,BREEDING,,1452340,PI 557368,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557369,Dundee,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1971,,,,,BREEDING,"Originated in Corvallis, Oregon, by Harry B. Lagerstedt, USDA-ARS. Selected in 1971 as USOR 15-71, it appears to be C. colurna x C. avellana hybrid. Introduced in 1993. Dundee is named in honor of a location in the Willamette Valley, long known to be central to filbert tree propagation and nut production. The rootstock has survived almost 20 years of culling from an original pool of 150, which were originated from planting and evaluating nearly 25,000 seedlings during the early years of the project. It consistently rank at the top for nut production, an unusual trait because yields generally vary from year to year. Dundee forms smooth union when topworked with the Ennis cultivar. It has light colored, silvery bark that is quite smooth. It has excellent vigor as observed from trees in nursery to trees nearly 20 years old. Propagation is by tie-off layerage with girdling; propagation by semi-hardwood cuttings or simple layerage is less successful. Highly susceptible to eastern filbert blight (Anisogramma anomala).",1452341,PI 557369,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557372,Newburg,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1971,,,,,BREEDING,"From Brooks and Olmo: Originated in Corvallis, Oregon, by Harry B. Lagerstedt, USDA-ARS. Introduced in 1993. Corylus colurna o.p.; appears to be C. colurna x C. avellana hybrid. Selected in 1971; tested as USOR 7-71. Ennis trees grafted to Newberg are vigorous, productive, and produce very few suckers; the rootstock slightly overgrows the scion. Newberg bark is intermediate in appearance between C. colurna and C. avellana. Propagation is by tie-off layerage with girdling; propagation by semi-hardwood cuttings or simple layerage is less successful. Highly susceptible to eastern filbert blight.",1452344,PI 557372,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557373,'Turktrazel Gellatly No. 5',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1984,DEVELOPED,1970,,,,,BREEDING,,1452345,PI 557373,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557374,USOR 13-71,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1971,,,,,BREEDING,,1452346,PI 557374,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557375,USOR 2-72,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1972,,,,,BREEDING,,1452347,PI 557375,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557377,USOR 1-71,Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1984,DEVELOPED,1971,,,,,BREEDING,,1452349,PI 557377,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557379,NY F-20,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452351,PI 557379,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557381,NY 588,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452353,PI 557381,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557382,NY 398,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,"One of the best of the New York selections, according to Ernie Grimo, Grimo Nut Nursery, Ontario, Canada, from nursery website, 12/2003.",1452354,PI 557382,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557383,NY 1464,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452355,PI 557383,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557384,NY 529,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452356,PI 557384,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557385,NY 1329,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452357,PI 557385,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557386,NY 1408,Corylus  hybr.,"New York, United States",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,,1452358,PI 557386,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557387,'Chinoka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1986,DEVELOPED,,,,,,CULTIVAR,Potential non-suckering rootstock selection,1452359,PI 557387,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557388,'Turktrazel Gellatly No. 2',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1986,DEVELOPED,,,,,,BREEDING,Potential non-suckering rootstock selection,1452360,PI 557388,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557389,'Erioka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1986,DEVELOPED,1970,,,,,CULTIVAR,Potential non-suckering rootstock selection,1452361,PI 557389,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557390,'Ruby',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1986,DEVELOPED,1982,,,,,CULTIVAR,"Non-suckering, upright habit, red foliage",1452362,PI 557390,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557392,'Reed',Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1989,DEVELOPED,,,,,,CULTIVAR,"From Brooks and Olmo: Originated in Beltsville, Maryland, by J.W. McKay, H.L. Crane, and C.A. Reed, U.S. Dept. of Agriculture. Introduced in 1951. Rush x Bolwyller; selected in 1943; tested as USDA 1667. Nut: averages 180-190 per lb; yields 48% kernels; resembles Red Aveline. Tree: vigorous, productive; suited to areas where varieties of the European species cannot be grown successfully due to lack of hardiness.",1452364,PI 557392,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557393,'Faroka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1989,DEVELOPED,,,,,,CULTIVAR,,1452365,PI 557393,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557394,'Karloka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1989,DEVELOPED,,,,,,CULTIVAR,,1452366,PI 557394,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557396,'Turktrazel Gellatly No. 15',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1989,DEVELOPED,,,,,,BREEDING,Non-suckering rootstock selection,1452368,PI 557396,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557397,'Zeroka',Corylus  hybr.,"British Columbia, Canada",COR,,Add to cart,1989,DEVELOPED,,,,,,CULTIVAR,,1452369,PI 557397,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557398,BR-3-2,Corylus  hybr.,"Maryland, United States",COR,,Add to cart,1990,COLLECTED,,,,,,BREEDING,,1452370,PI 557398,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 557426,OSU 193.055,Corylus avellana L.,"Oregon, United States",COR,,Add to cart,1991,DEVELOPED,,,,,,BREEDING,No additional information provided upon receipt,1452398,PI 557426,Corylus,,,Corylus avellana,Corylus avellana  
PI 557427,Henneman #3,Corylus avellana L.,"Oregon, United States",COR,,Add to cart,1991,DEVELOPED,,,,,,BREEDING,No additional information provided upon receipt,1452399,PI 557427,Corylus,,,Corylus avellana,Corylus avellana  
PI 608046,99018,Corylus heterophylla Fisch. ex Trautv.,"Oregon, United States",COR,,Add to cart,1999,DEVELOPED,7/6/2000,,,,,WILD,,1585885,PI 608046,Corylus,,,Corylus heterophylla,Corylus heterophylla  
PI 617169,OSU 405.079 MPW 137 Missouri,Corylus americana Marshall,"Missouri, United States",COR,,Add to cart,1987,COLLECTED,9/18/1987,"Brighton, in hedgerow on north side of road","37.45000000, -93.30000000",1220,"Brighton, in hedgerow on north side of road",WILD,,1004580,PI 617169,Corylus,,,Corylus americana,Corylus americana  
PI 617182,'Red Fortin',Corylus avellana L.,"Washington, United States",COR,,Add to cart,1992,DEVELOPED,PRE 1992,,,,,CULTIVAR,"Developed by Michael Dolan, Burnt Ridge Nursery, Onalaska, Washington. Probably not desirable for commercial nut productin, but has colorful red foliage and ornamental qualities. Susceptible to big bud mite.",1007118,PI 617182,Corylus,,,Corylus avellana,Corylus avellana  
PI 617183,'Purple Fortrin',Corylus avellana L.,"Washington, United States",COR,,Add to cart,1992,DEVELOPED,,,,,,CULTIVAR,"Developed by Michael Dolan, Burnt Ridge Nursery, Onalaska, Washington. Probably not desirable for commercial nut productin, but has colorful foliage and ornamental qualities. Susceptible to big bud mite.",1007126,PI 617183,Corylus,,,Corylus avellana,Corylus avellana  
PI 617184,Jemtegaard 76,Corylus avellana L.,"Oregon, United States",COR,,Add to cart,1992,DEVELOPED,,,,,,CULTIVAR,,1007145,PI 617184,Corylus,,,Corylus avellana,Corylus avellana  
PI 617185,'Grand Traverse',Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1992,DEVELOPED,,,,,,BREEDING,"From Brooks and Olmo: Orig. in Lansing, Mich., by Cecil Farris. Introd. in 1989. Faroka x Royal; cross made in 1977; selected in 1981; tested as 81C. Nut: nearly round, brown; 51% kernel by weight; ripens with Ennis; kernel plump, clean, excellent flavor. Introduced for the in-shell trade. Tree: vigorous, productive, not precocious, winter hardy. Resistant to big bud mites.",1007151,PI 617185,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617187,Weschcke TP-3,Corylus  hybr.,"Wisconsin, United States",COR,,Add to cart,1992,COLLECTED,,Carl Weschcke's farm in Wisconsin,,,,BREEDING,,1007165,PI 617187,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617188,'Black Hills #2',Corylus  hybr.,"South Dakota, United States",COR,,Add to cart,1992,COLLECTED,,Black Hills of South Dakota,,,,WILD,,1007174,PI 617188,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617191,Farris 88 BS,Corylus  hybr.,"Michigan, United States",COR,,Add to cart,1993,DEVELOPED,,,,,,CULTIVAR,,1007268,PI 617191,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617198,SCS 13-3,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007338,PI 617198,Corylus,,,Corylus californica,Corylus californica  
PI 617199,SCS 25-3,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007344,PI 617199,Corylus,,,Corylus californica,Corylus californica  
PI 617200,SCS 53-6,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007352,PI 617200,Corylus,,,Corylus californica,Corylus californica  
PI 617201,SCS 66-5,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007368,PI 617201,Corylus,,,Corylus californica,Corylus californica  
PI 617202,SCS 19-4,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007374,PI 617202,Corylus,,,Corylus californica,Corylus californica  
PI 617203,SCS 13-5,Corylus californica (A. DC.) Rose,"Oregon, United States",COR,,Add to cart,1993,COLLECTED,,,,,,WILD,,1007382,PI 617203,Corylus,,,Corylus californica,Corylus californica  
PI 617210,'Lewis',Corylus avellana L.,"Oregon, United States",COR,,Add to cart,1997,DEVELOPED,1/23/1997,,,,,CULTIVAR,"'Lewis' is precocious, and it is more productive and has a smaller tree size than 'Barcelona.' Harvest is earlier than 'Barcelona,' and the nuts have fewer defects. Tree growth habit: 'Lewis' is a 'grower-friendly' tree, with a good balance between vegetative and reproductive growth and can be managed much like a 'Barcelona.' Tree size is 75% of 'Barcelona' as measured by the trunk cross sectional area. Flowering characteristics: Female flowers bloom at the same time as 'Barcelona.' The incompatibility alleles are S3 S8. The recommended pollinizers are 'Tonda di Giffoni' and 'Hall's Giant.' Yield and yield efficiency: 'Lewis' has out-yielded 'Barcelona' in the first 4 bearing years and yields were similar in 1997. 'Lewis' is a more efficient nut producer than 'Barcelona' (i.e. yields are greater and tree size is smaller). More of the tree's resources are used to produce nuts and less to develop leaves and wood. Harvest time: Nut clusters contain 3-4 nuts. Nuts are freehusking and ready to harvest 5-7 days earlier than 'Barcelona.' Nut and kernel quality: 'Lewis' nuts are smaller than 'Barcelona.' Only 17% of the nuts had defects in 1997, compared to 28 percent for 'Barcelona.' Most defects in 'Lewis' are shriveled, poorl filled, or moldy nuts. In 1997, only I% of the nuts were blanks, 'Barcelona' had 8%. Kernel is 4-5% greater than 'Barcelona.' Raw kernels have very little fiber. Kernels blanch slightly better than 'Barcelona' and have good flavor and texture. Propagation: 'Lewis' is easy to propagate by the 'tie-off' method. Layers are well rooted and vigorous. Pest tolerance: A major strength is its tolerance to eastern filbert blight. Its tolerance to the pathogen is better than 'Willamette' and 'Hall' Giant.' Big bud mite tolerance is comparable to 'Casina.'",1544654,PI 617210,Corylus,,,Corylus avellana,Corylus avellana  
PI 617214,C. americana,Corylus americana Marshall,"Oregon, United States",COR,,Add to cart,1994,DONATED,12/20/1994,,,,,BREEDING,,1552502,PI 617214,Corylus,,,Corylus americana,Corylus americana  
PI 617226,'Acorn Hazelnut',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558061,PI 617226,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617228,'Frango 4',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558063,PI 617228,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617229,'Frango 5',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558064,PI 617229,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617230,'Goc',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558065,PI 617230,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617231,'Karol',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558066,PI 617231,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617232,'Lech',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558067,PI 617232,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617233,'Lenka 3',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558068,PI 617233,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617234,'Lenka 4',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558069,PI 617234,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617236,'Maria',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558071,PI 617236,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617237,'Syrena',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558072,PI 617237,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617238,'Volski',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558073,PI 617238,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617239,'Tapparona',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,Tapparona originated in the Liguria reqion of Italy. This clone of cultivar Tapparona was received from the Z. Piskornik collection in Poland. It had been collected in the village of Colombano Cortenoli in Italy.,1558074,PI 617239,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617241,'Barrettona',Corylus  hybr.,"Oregon, United States",COR,,Add to cart,1998,DONATED,5/6/1998,,,,,CULTIVAR,,1558076,PI 617241,Corylus,,,Corylus hybr.,Corylus hybr.  
PI 617243,88323,Corylus americana Marshall,"Oregon, United States",COR,,Add to cart,1998,DONATED,Feb-98,,,,,WILD,,1566611,PI 617243,Corylus,,,Corylus americana,Corylus americana  
PI 617244,88325,Corylus americana Marshall,"North Dakota, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566612,PI 617244,Corylus,,,Corylus americana,Corylus americana  
PI 617245,88302,Corylus americana Marshall,"Pennsylvania, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566613,PI 617245,Corylus,,,Corylus americana,Corylus americana  
PI 617247,88307,Corylus americana Marshall,"West Virginia, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566615,PI 617247,Corylus,,,Corylus americana,Corylus americana  
PI 617248,88311,Corylus americana Marshall,"Kentucky, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566616,PI 617248,Corylus,,,Corylus americana,Corylus americana  
PI 617249,88316,Corylus americana Marshall,"Michigan, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566617,PI 617249,Corylus,,,Corylus americana,Corylus americana  
PI 617250,89306,Corylus americana Marshall,"Indiana, United States",COR,,Add to cart,1998,COLLECTED,1989,,,,,WILD,,1566618,PI 617250,Corylus,,,Corylus americana,Corylus americana  
PI 617251,88317,Corylus americana Marshall,"Indiana, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566619,PI 617251,Corylus,,,Corylus americana,Corylus americana  
PI 617252,88324,Corylus americana Marshall,"Wisconsin, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566620,PI 617252,Corylus,,,Corylus americana,Corylus americana  
PI 617253,88301,Corylus americana Marshall,"Pennsylvania, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566621,PI 617253,Corylus,,,Corylus americana,Corylus americana  
PI 617254,88303,Corylus americana Marshall,"Maryland, United States",COR,,Add to cart,1998,COLLECTED,1988,,,,,WILD,,1566622,PI 617254,Corylus,,,Corylus americana,Corylus americana  
PI 617258,87172,Corylus heterophylla Fisch. ex Trautv.,"Nebraska, United States",COR,,Add to cart,1998,COLLECTED,1987,,,,,WILD,,1566626,PI 617258,Corylus,,,Corylus heterophylla,Corylus heterophylla  
