TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,ECO_NAME
Elymus violaceus,Elymus,Elymus violaceus,,,Northern Arctic
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,,North Cascades
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Montane Cordillera
Empetrum nigrum,Empetrum,Empetrum nigrum,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Chenopodium hians,Chenopodium,Chenopodium hians,,,Boreal Plains
Chenopodium hians,Chenopodium,Chenopodium hians,,,Montane Cordillera
Elymus lanceolatus subsp. lanceolatus,Elymus,Elymus lanceolatus,subsp.,lanceolatus,Boreal Cordillera
Daucus pusillus,Daucus,Daucus pusillus,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Montane Cordillera
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Canadian Rocky Mountains
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Montane Cordillera
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Aspen Parkland
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,californicus,Canadian Rocky Mountains
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Montane Cordillera
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,californicus,North Cascades
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,californicus,Montane Cordillera
Cornus sericea,Cornus,Cornus sericea,,,Southern Arctic
Claytonia perfoliata subsp. perfoliata,Claytonia,Claytonia perfoliata,subsp.,perfoliata,North Cascades
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Montane Cordillera
Crataegus douglasii,Crataegus,Crataegus douglasii,,,Montane Cordillera
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Canadian Rocky Mountains
Elymus lanceolatus subsp. lanceolatus,Elymus,Elymus lanceolatus,subsp.,lanceolatus,Boreal Plains
Elymus albicans,Elymus,Elymus albicans,,,Boreal Plains
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,californicus,Okanagan
Dicentra formosa,Dicentra,Dicentra formosa,,,Montane Cordillera
Elymus glaucus,Elymus,Elymus glaucus,,,Taiga Plains
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Taiga Plains
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Okanagan
Elymus riparius,Elymus,Elymus riparius,,,St. Lawrence - Champlain Valley
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Boreal Cordillera
Elymus hirsutus,Elymus,Elymus hirsutus,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Alaska-Yukon Arctic
Elymus sibiricus,Elymus,Elymus sibiricus,,,Fescue-Mixed Grass Prairie
Elymus glaucus,Elymus,Elymus glaucus,,,Fescue-Mixed Grass Prairie
Claytonia lanceolata,Claytonia,Claytonia lanceolata,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus sibiricus,Elymus,Elymus sibiricus,,,Taiga Plains
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Okanagan
Elymus hirsutus,Elymus,Elymus hirsutus,,,Canadian Rocky Mountains
Elymus macrourus,Elymus,Elymus macrourus,,,Yukon Plateau And Flats
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Boreal Plains
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Boreal Cordillera
Elymus macrourus,Elymus,Elymus macrourus,,,Taiga Cordillera
Elymus alaskanus,Elymus,Elymus alaskanus,,,Alaska-Yukon Arctic
Elymus violaceus,Elymus,Elymus violaceus,,,Alaska-Yukon Arctic
Elymus macrourus,Elymus,Elymus macrourus,,,Boreal Cordillera
Elymus lanceolatus subsp. psammophilus,Elymus,Elymus lanceolatus,subsp.,psammophilus,Alaska Range
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Yukon Plateau And Flats
Elymus lanceolatus subsp. psammophilus,Elymus,Elymus lanceolatus,subsp.,psammophilus,Taiga Plains
Elymus albicans,Elymus,Elymus albicans,,,Boreal Cordillera
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Canadian Rocky Mountains
Elymus macrourus,Elymus,Elymus macrourus,,,Alaska-Yukon Arctic
Empetrum nigrum subsp. nigrum,Empetrum,Empetrum nigrum,subsp.,nigrum,Boreal Shield
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Montane Cordillera
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,Montane Cordillera
Elymus violaceus,Elymus,Elymus violaceus,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,elymoides,Pacific Northwest Coast
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Boreal Cordillera
Elymus hirsutus,Elymus,Elymus hirsutus,,,Pacific Northwest Coast
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,Pacific Northwest Coast
Elymus alaskanus,Elymus,Elymus alaskanus,,,Boreal Cordillera
Elymus alaskanus,Elymus,Elymus alaskanus,,,Boreal Plains
Elymus violaceus,Elymus,Elymus violaceus,,,North Cascades
Elymus albicans,Elymus,Elymus albicans,,,Montane Cordillera
Elymus alaskanus,Elymus,Elymus alaskanus,,,Montane Cordillera
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,S.E. Alaska - B.C. Coastal Forest And Mountains
Claytonia sibirica,Claytonia,Claytonia sibirica,,,Montane Cordillera
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Boreal Cordillera
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,Boreal Cordillera
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Boreal Cordillera
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Canadian Rocky Mountains
Elymus hirsutus,Elymus,Elymus hirsutus,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,Montane Cordillera
Empetrum nigrum,Empetrum,Empetrum nigrum,,,Alaska Range
Elymus canadensis,Elymus,Elymus canadensis,,,Montane Cordillera
Elymus lanceolatus subsp. lanceolatus,Elymus,Elymus lanceolatus,subsp.,lanceolatus,Montane Cordillera
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Taiga Plains
Elymus canadensis,Elymus,Elymus canadensis,,,Okanagan
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Montane Cordillera
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,Okanagan
Cornus sericea,Cornus,Cornus sericea,,,Alaska Range
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,,Alaska Range
Chamaenerion angustifolium,Chamaenerion,Chamaenerion angustifolium,,,Alaska Range
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Pacific Northwest Coast
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,,Pacific Northwest Coast
Drymocallis glandulosa,Drymocallis,Drymocallis glandulosa,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Drymocallis glandulosa var. glandulosa,Drymocallis,Drymocallis glandulosa,var.,glandulosa,Montane Cordillera
Drymocallis glandulosa,Drymocallis,Drymocallis glandulosa,,,Aspen Parkland
Chamaenerion angustifolium,Chamaenerion,Chamaenerion angustifolium,,,Gulf Of Alaska Mountains And Fjordlands
Elymus canadensis,Elymus,Elymus canadensis,,,North Cascades
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Boreal Plains
Elymus hirsutus,Elymus,Elymus hirsutus,,,Montane Cordillera
Elymus macrourus,Elymus,Elymus macrourus,,,Boreal Plains
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Canadian Rocky Mountains
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Gulf Of Alaska Mountains And Fjordlands
Elymus violaceus,Elymus,Elymus violaceus,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Comarum palustre,Comarum,Comarum palustre,,,Alaska Range
Elymus lanceolatus subsp. lanceolatus,Elymus,Elymus lanceolatus,subsp.,lanceolatus,Okanagan
Elymus hirsutus,Elymus,Elymus hirsutus,,,Okanagan
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Alaska Range
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Elymus elymoides,Elymus,Elymus elymoides,,,North Cascades
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,North Cascades
Corylus cornuta,Corylus,Corylus cornuta,,,Northern Great Plains Steppe
Chamaenerion angustifolium,Chamaenerion,Chamaenerion angustifolium,,,Arctic Cordillera
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Boreal Cordillera
Panicum xanthophysum,Panicum,Panicum xanthophysum,,,St. Lawrence - Champlain Valley
Panicum boreale,Panicum,Panicum boreale,,,St. Lawrence - Champlain Valley
Elymus virginicus,Elymus,Elymus virginicus,,,Northern Great Plains Steppe
Comarum palustre,Comarum,Comarum palustre,,,Arctic Cordillera
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Great Lakes
Corylus americana,Corylus,Corylus americana,,,St. Lawrence - Champlain Valley
Crataegus douglasii,Crataegus,Crataegus douglasii,,,Northern Great Plains Steppe
Corylus cornuta subsp. cornuta,Corylus,Corylus cornuta,subsp.,cornuta,Great Lakes
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Northern Appalachian / Acadian
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,Boreal Cordillera
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Aspen Parkland
Chenopodium berlandieri var. macrocalycium,Chenopodium,Chenopodium berlandieri,var.,macrocalycium,Northern Appalachian / Acadian
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Northern Appalachian / Acadian
Panicum linearifolium,Panicum,Panicum linearifolium,,,Northern Appalachian / Acadian
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,Northern Appalachian / Acadian
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Northern Appalachian / Acadian
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Southern Arctic
Claytonia lanceolata,Claytonia,Claytonia lanceolata,,,Fescue-Mixed Grass Prairie
Corylus cornuta subsp. cornuta,Corylus,Corylus cornuta,subsp.,cornuta,Northern Appalachian / Acadian
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,St. Lawrence - Champlain Valley
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Great Lakes
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Boreal Shield
Claytonia virginica,Claytonia,Claytonia virginica,,,Superior Mixed Forest
Elymus elymoides,Elymus,Elymus elymoides,,,Great Lakes
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Northern Arctic
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Northern Arctic
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Great Lakes
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Okanagan
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Superior Mixed Forest
Elymus alaskanus,Elymus,Elymus alaskanus,,,Canadian Rocky Mountains
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,St. Lawrence - Champlain Valley
Empetrum nigrum subsp. nigrum,Empetrum,Empetrum nigrum,subsp.,nigrum,Hudson Plains
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Boreal Plains
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Boreal Cordillera
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Okanagan
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Hudson Plains
Corylus cornuta,Corylus,Corylus cornuta,,,Hudson Plains
Panicum leibergii,Panicum,Panicum leibergii,,,Boreal Shield
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,Taiga Plains
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Aspen Parkland
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Montane Cordillera
Elymus glaucus,Elymus,Elymus glaucus,,,Northern Great Plains Steppe
Elymus elymoides,Elymus,Elymus elymoides,,,Boreal Shield
Panicum linearifolium,Panicum,Panicum linearifolium,,,Superior Mixed Forest
Elymus glaucus,Elymus,Elymus glaucus,,,Great Lakes
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,S.E. Alaska - B.C. Coastal Forest And Mountains
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Western Taiga Shield
Panicum boreale,Panicum,Panicum boreale,,,Superior Mixed Forest
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Hudson Plains
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,virginicus,St. Lawrence - Champlain Valley
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Eastern Taiga Shield
Panicum leibergii,Panicum,Panicum leibergii,,,Hudson Plains
Panicum leibergii,Panicum,Panicum leibergii,,,Great Lakes
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Boreal Plains
Elymus scribneri,Elymus,Elymus scribneri,,,Northern Great Plains Steppe
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Eastern Taiga Shield
Panicum boreale,Panicum,Panicum boreale,,,Boreal Shield
Elymus virginicus,Elymus,Elymus virginicus,,,Hudson Plains
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Superior Mixed Forest
Claytonia lanceolata,Claytonia,Claytonia lanceolata,,,Montane Cordillera
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,Canadian Rocky Mountains
Panicum sphaerocarpon,Panicum,Panicum sphaerocarpon,,,Great Lakes
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Montane Cordillera
Drymocallis glandulosa,Drymocallis,Drymocallis glandulosa,,,Superior Mixed Forest
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Boreal Shield
Elymus elymoides,Elymus,Elymus elymoides,,,St. Lawrence - Champlain Valley
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,S.E. Alaska - B.C. Coastal Forest And Mountains
Elymus macrourus,Elymus,Elymus macrourus,,,Hudson Plains
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,elymoides,Northern Great Plains Steppe
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Aspen Parkland
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Aspen Parkland
Elymus hystrix,Elymus,Elymus hystrix,,,Aspen Parkland
Elymus hystrix,Elymus,Elymus hystrix,,,Northern Tallgrass Prairie
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Northern Tallgrass Prairie
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Aspen Parkland
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Northern Tallgrass Prairie
Celtis occidentalis,Celtis,Celtis occidentalis,,,Aspen Parkland
Comarum palustre,Comarum,Comarum palustre,,,Northern Tallgrass Prairie
Panicum leibergii,Panicum,Panicum leibergii,,,Northern Tallgrass Prairie
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Boreal Shield
Elymus sibiricus,Elymus,Elymus sibiricus,,,Boreal Cordillera
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Boreal Cordillera
Corylus cornuta subsp. cornuta,Corylus,Corylus cornuta,subsp.,cornuta,Canadian Rocky Mountains
Claytonia perfoliata,Claytonia,Claytonia perfoliata,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Pacific Northwest Coast
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Taiga Cordillera
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Boreal Plains
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Aspen Parkland
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Northern Great Plains Steppe
Cornus sericea subsp. occidentalis,Cornus,Cornus sericea,subsp.,occidentalis,North Cascades
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Boreal Shield
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Arctic Cordillera
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Superior Mixed Forest
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Northern Tallgrass Prairie
Drymocallis glandulosa var. glandulosa,Drymocallis,Drymocallis glandulosa,var.,glandulosa,Canadian Rocky Mountains
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Yukon Plateau And Flats
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Boreal Shield
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Eastern Taiga Shield
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,St. Lawrence - Champlain Valley
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Hudson Plains
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Eastern Taiga Shield
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Northern Arctic
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Boreal Shield
Elymus alaskanus,Elymus,Elymus alaskanus,,,Alaska Range
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Canadian Rocky Mountains
Elymus scribneri,Elymus,Elymus scribneri,,,Canadian Rocky Mountains
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Western Taiga Shield
Elymus albicans,Elymus,Elymus albicans,,,Canadian Rocky Mountains
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Western Taiga Shield
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Aspen Parkland
Empetrum nigrum,Empetrum,Empetrum nigrum,,,Aspen Parkland
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Boreal Shield
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,virginicus,Northern Great Plains Steppe
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Canadian Rocky Mountains
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Taiga Plains
Cornus suecica,Cornus,Cornus suecica,,,Western Taiga Shield
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Taiga Plains
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Taiga Cordillera
Claytonia megarhiza,Claytonia,Claytonia megarhiza,,,Boreal Plains
Panicum leibergii,Panicum,Panicum leibergii,,,Aspen Parkland
Elymus virginicus,Elymus,Elymus virginicus,,,Fescue-Mixed Grass Prairie
Elymus virginicus,Elymus,Elymus virginicus,,,Boreal Plains
Elymus glaucus,Elymus,Elymus glaucus,,,Aspen Parkland
Elymus diversiglumis,Elymus,Elymus diversiglumis,,,Boreal Plains
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Northern Great Plains Steppe
Elymus glaucus,Elymus,Elymus glaucus,,,Hudson Plains
Elymus glaucus subsp. virescens,Elymus,Elymus glaucus,subsp.,virescens,Taiga Plains
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Northern Great Plains Steppe
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Northern Great Plains Steppe
Corylus cornuta subsp. cornuta,Corylus,Corylus cornuta,subsp.,cornuta,Boreal Shield
Dioscorea villosa,Dioscorea,Dioscorea villosa,,,St. Lawrence - Champlain Valley
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Northern Appalachian / Acadian
Elymus virginicus var. halophilus,Elymus,Elymus virginicus,var.,halophilus,Northern Appalachian / Acadian
Elymus riparius,Elymus,Elymus riparius,,,Boreal Shield
Corylus cornuta subsp. cornuta,Corylus,Corylus cornuta,subsp.,cornuta,St. Lawrence - Champlain Valley
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,St. Lawrence - Champlain Valley
Cornus canadensis,Cornus,Cornus canadensis,,,Southern Arctic
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,Montane Cordillera
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Northern Appalachian / Acadian
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,St. Lawrence - Champlain Valley
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Great Lakes
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,virginicus,Boreal Shield
Panicum xanthophysum,Panicum,Panicum xanthophysum,,,Northern Appalachian / Acadian
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Fescue-Mixed Grass Prairie
Cornus canadensis,Cornus,Cornus canadensis,,,Gulf Of Alaska Mountains And Fjordlands
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Arctic Cordillera
Dasiphora fruticosa,Dasiphora,Dasiphora fruticosa,,,Arctic Cordillera
Elymus virginicus var. intermedius,Elymus,Elymus virginicus,var.,intermedius,Northern Appalachian / Acadian
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Okanagan
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Great Lakes
Fagus grandifolia,Fagus,Fagus grandifolia,,,Boreal Shield
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Canadian Rocky Mountains
Fagus grandifolia,Fagus,Fagus grandifolia,,,Northern Appalachian / Acadian
Holodiscus discolor,Holodiscus,Holodiscus discolor,,,Okanagan
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Great Lakes
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Boreal Cordillera
Gaultheria shallon,Gaultheria,Gaultheria shallon,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Boreal Shield
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Northern Appalachian / Acadian
Gaultheria shallon,Gaultheria,Gaultheria shallon,,,Pacific Northwest Coast
Fragaria vesca,Fragaria,Fragaria vesca,,,Okanagan
Holodiscus discolor,Holodiscus,Holodiscus discolor,,,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Northern Appalachian / Acadian
Fragaria virginiana,Fragaria,Fragaria virginiana,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,St. Lawrence - Champlain Valley
Fraxinus quadrangulata,Fraxinus,Fraxinus quadrangulata,,,Great Lakes
Fagus grandifolia,Fagus,Fagus grandifolia,,,Great Lakes
Fagus grandifolia,Fagus,Fagus grandifolia,,,St. Lawrence - Champlain Valley
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Great Lakes
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Northern Tallgrass Prairie
Holodiscus discolor,Holodiscus,Holodiscus discolor,,,Pacific Northwest Coast
Fraxinus americana,Fraxinus,Fraxinus americana,,,Great Lakes
Juglans cinerea,Juglans,Juglans cinerea,,,Great Lakes
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Boreal Shield
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,St. Lawrence - Champlain Valley
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Boreal Shield
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,Aspen Parkland
Fragaria virginiana,Fragaria,Fragaria virginiana,,,St. Lawrence - Champlain Valley
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Great Lakes
Gaultheria shallon,Gaultheria,Gaultheria shallon,,,S.E. Alaska - B.C. Coastal Forest And Mountains
Juglans cinerea,Juglans,Juglans cinerea,,,St. Lawrence - Champlain Valley
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Northern Appalachian / Acadian
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,Okanagan
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,Great Lakes
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,Northern Appalachian / Acadian
Humulus lupulus,Humulus,Humulus lupulus,,,Aspen Parkland
Fragaria chiloensis,Fragaria,Fragaria chiloensis,,,Pacific Northwest Coast
